"Latest: Wavelength (nm)","Latest: Absorbance","Run 1: Wavelength (nm)","Run 1: Absorbance","Run 2: Wavelength (nm)","Run 2: Absorbance","Run 3: Wavelength (nm)","Run 3: Absorbance","Run 4: Wavelength (nm)","Run 4: Absorbance","Run 5: Wavelength (nm)","Run 5: Absorbance","Run 6: Wavelength (nm)","Run 6: Absorbance","Run 7: Wavelength (nm)","Run 7: Absorbance","Run 8: Wavelength (nm)","Run 8: Absorbance","Run 9: Wavelength (nm)","Run 9: Absorbance","Run 10: Wavelength (nm)","Run 10: Absorbance"
448.4,1.12388819663,448.4,0.249824604475,448.4,0.228751569764,448.4,0.165862871773,448.4,0.12498724561,448.4,0.0929478870982,448.4,1.51596956441,448.4,1.95645355923,448.4,1.97379740687,448.4,0.566908708287,448.4,1.43462568125
449.2,1.12022826904,449.2,0.24991322146,449.2,0.229407213943,449.2,0.165913871208,449.2,0.124903792032,449.2,0.0929396458641,449.2,1.52491209528,449.2,1.97298981273,449.2,1.97852266615,449.2,0.569425613449,449.2,1.43979440277
450.1,1.1180725132,450.1,0.251015040183,450.1,0.23080632423,450.1,0.166687575981,450.1,0.126126101653,450.1,0.0933680496766,450.1,1.52923491383,450.1,1.99417067603,450.1,1.97853009889,450.1,0.573091094059,450.1,1.44694486593
450.9,1.11154883714,450.9,0.251435010935,450.9,0.231893960445,450.9,0.166478366376,450.9,0.126007884512,450.9,0.0934068829902,450.9,1.52550975636,450.9,1.98553115079,450.9,1.97746170868,450.9,0.57485990114,450.9,1.45190268058
451.8,1.10588100617,451.8,0.251645868029,451.8,0.233526540848,451.8,0.16670654142,451.8,0.125402706421,451.8,0.0940982788528,451.8,1.52741096122,451.8,1.94122662656,451.8,1.97397731622,451.8,0.578813428543,451.8,1.44582330439
452.6,1.10152486868,452.6,0.251490727033,452.6,0.23313118982,452.6,0.166183481218,452.6,0.124302253478,452.6,0.0939603063547,452.6,1.52630697853,452.6,1.92380721789,452.6,1.97047790083,452.6,0.58006868833,452.6,1.44800442187
453.5,1.09318077289,453.5,0.252939134286,453.5,0.233183718473,453.5,0.167041148365,453.5,0.123892130151,453.5,0.094855706555,453.5,1.53334199489,453.5,1.92544442983,453.5,1.96141792728,453.5,0.583400928638,453.5,1.45131648016
454.3,1.08553572857,454.3,0.253572590596,454.3,0.232590444764,454.3,0.166858007462,454.3,0.123298178056,454.3,0.0944483393992,454.3,1.53214991231,454.3,1.90061120652,454.3,1.94279064734,454.3,0.583052791997,454.3,1.45629261462
455.2,1.08053106016,455.2,0.254061357322,455.2,0.232603143518,455.2,0.16713391439,455.2,0.122823467303,455.2,0.0944577842651,455.2,1.53765017767,455.2,1.92993613234,455.2,1.97716924183,455.2,0.584736161836,455.2,1.46307973617
456,1.07859657352,456,0.254256052383,456,0.233989757934,456,0.16668309804,456,0.12307601544,456,0.0943488905179,456,1.53943966619,456,1.91905241475,456,1.97022422506,456,0.585540985529,456,1.46337303617
456.9,1.0761613989,456.9,0.255433801325,456.9,0.235109766799,456.9,0.167376912808,456.9,0.123482515622,456.9,0.0952429310337,456.9,1.54612531454,456.9,1.96548784664,456.9,2.04510999853,456.9,0.588178609379,456.9,1.4655251236
457.7,1.07122301704,457.7,0.25628064769,457.7,0.236444566481,457.7,0.167956780187,457.7,0.122927542646,457.7,0.0963400959592,457.7,1.54996901342,457.7,1.9230652534,457.7,1.98067455107,457.7,0.589774467171,457.7,1.46101544085
458.6,1.06628259441,458.6,0.256138725407,458.6,0.236569359518,458.6,0.167578270665,458.6,0.12192268321,458.6,0.0961979371406,458.6,1.5498292081,458.6,1.9261054772,458.6,1.96941828366,458.6,0.59082820117,458.6,1.45857423265
459.4,1.05849269307,459.4,0.255799346437,459.4,0.235716290297,459.4,0.167803097064,459.4,0.120793352633,459.4,0.0966180489639,459.4,1.54864883633,459.4,1.91156565239,459.4,1.90180611123,459.4,0.590528229436,459.4,1.45838729209
460.3,1.05265940287,460.3,0.255791431847,460.3,0.235296659494,460.3,0.167112851265,460.3,0.120154981445,460.3,0.0972194509681,460.3,1.54828416909,460.3,1.91171483377,460.3,1.93220296785,460.3,0.591874910467,460.3,1.45866811603
461.1,1.04784715668,461.1,0.255838004861,461.1,0.234524960554,461.1,0.166899215815,461.1,0.118693852857,461.1,0.0972870741958,461.1,1.54826314377,461.1,1.9068690314,461.1,1.93796384854,461.1,0.593146898514,461.1,1.45898937013
462,1.04585097241,462,0.257141962213,462,0.235915786779,462,0.166606943134,462,0.118555302694,462,0.0972516604745,462,1.54739659776,462,1.89222234453,462,1.9396373446,462,0.594082575291,462,1.45905845773
462.8,1.03829184024,462.8,0.257703435687,462.8,0.236962459504,462.8,0.167006113264,462.8,0.118339329146,462.8,0.0961582460299,462.8,1.54325757696,462.8,1.91208079732,462.8,1.89688040571,462.8,0.594394275709,462.8,1.45056340699
463.7,1.03319081678,463.7,0.257623339061,463.7,0.236887107909,463.7,0.166742902886,463.7,0.118554631181,463.7,0.0970305964872,463.7,1.54506862639,463.7,1.91264030309,463.7,1.88705970865,463.7,0.593177998089,463.7,1.44765928429
464.5,1.02900710697,464.5,0.25778491464,464.5,0.2376111483,464.5,0.166553595131,464.5,0.118052336467,464.5,0.0972529681182,464.5,1.55039080747,464.5,1.90407767079,464.5,1.88691814025,464.5,0.594647368446,464.5,1.44259320153
465.4,1.02770622329,465.4,0.257418876933,465.4,0.236720879345,465.4,0.165746118237,465.4,0.11693739947,465.4,0.097536726273,465.4,1.55202232779,465.4,1.88750308118,465.4,1.89506974055,465.4,0.594266151249,465.4,1.44751435837
