time,temp
294.5,21.4327422173
295.0,21.2879501673
295.5,21.1372134868
296.0,20.9893069616
296.5,20.8500966048
297.0,20.7078622634
297.5,20.572869932
298.0,20.4157548459
298.5,20.2849749708
299.0,20.1393960328
299.5,20.0084254177
300.0,19.8626286282
300.5,19.7270338095
301.0,19.5514878415
301.5,19.4200783254
302.0,19.2767378387
302.5,19.1510259152
303.0,19.0237336764
303.5,18.8963373379
304.0,18.7584518591
304.5,18.6323164382
305.0,18.5031009945
305.5,18.3886414466
306.0,18.2547405257
306.5,18.1326300181
307.0,18.0133930662
307.5,17.8940508112
308.0,17.7746014105
308.5,17.6505574244
309.0,17.5338771663
309.5,17.4200856111
310.0,17.2896972038
310.5,17.1786836563
311.0,17.0585549971
311.5,16.9563510985
312.0,16.8254615517
312.5,16.7200416815
313.0,16.6069848773
313.5,16.471168429
314.0,16.3548394893
314.5,16.2338488342
315.0,16.1354454327
315.5,16.0293724364
316.0,15.9140883675
316.5,15.8199478044
317.0,15.7181200829
317.5,15.6146702231
318.0,15.5019738063
318.5,15.4028804218
319.0,15.3052160045
319.5,15.2074556769
320.0,15.1065387157
320.5,15.0101115212
321.0,14.9135881376
321.5,14.809294986
322.0,14.7187124735
322.5,14.6249676461
323.0,14.5357458383
323.5,14.421786065
324.0,14.3323671509
324.5,14.2444041775
325.0,14.1517188033
325.5,14.0589373177
326.0,13.9768996055
326.5,13.8854846589
327.0,13.8048362584
327.5,13.7179002667
328.0,13.6262120191
328.5,13.5375384077
329.0,13.411368835
329.5,13.3209087502
330.0,13.2444090612
330.5,13.1537670163
331.0,13.077112242
331.5,12.9894186683
332.0,12.9094724008
332.5,12.8278769056
333.0,12.7524842072
333.5,12.6707281954
334.0,12.5936115579
334.5,12.5195714822
335.0,12.4359953444
335.5,12.3602261718
336.0,12.2748969803
336.5,12.2163759501
337.0,12.129302333
337.5,12.0500578366
338.0,11.9850152813
338.5,11.9103849913
339.0,11.8388605884
339.5,11.7624919936
340.0,11.686044466
340.5,11.6174927013
341.0,11.5408938744
341.5,11.4817939081
342.0,11.4066514073
342.5,11.3378353606
343.0,11.2657478198
343.5,11.1984003884
344.0,11.1245655941
344.5,11.0683352646
345.0,10.997581926
345.5,10.9331986725
346.0,10.8703677495
346.5,10.8123195023
347.0,10.7445349342
347.5,10.6782998862
348.0,10.6039111511
348.5,10.5537338585
349.0,10.4856925881
349.5,10.4240724704
350.0,10.3688909152
350.5,10.2941612732
351.0,10.2404993992
351.5,10.1379336992
352.0,10.0776225957
352.5,10.0107268553
353.0,9.95356675854
353.5,9.88981516899
354.0,9.84400630189
354.5,9.77359396821
355.0,9.72934237356
355.5,9.66701083817
356.0,9.61775897797
356.5,9.54709848369
